DATA,REGIO_CODI,REGIO,AGA_CODI,AGA,SECTOR_CODI,SECTOR,ABS_CODI,ABS,SEXE_CODI,SEXE,EDAT,POBLACIO_DIANA,VACUNACIO_INICIADA,VACUNACIO_COMPLETADA
12/01/2022,6100,LLEIDA,05,Lleida,6156,LLEIDA,135,LLEIDA 1,1,Dona,75 a 79,307,288,285
12/01/2022,6400,GIRONA,53,Garrotxa,6461,GIRONA NORD,171,OLOT,1,Dona,30 a 34,1216,984,946
12/01/2022,6200,CAMP DE TARRAGONA,06,Alt Camp i Conca de Barberà,6257,ALT CAMP-CONCA DE BARBERÀ,263,VALLS URBÀ,1,Dona,15 a 19,707,635,616
12/01/2022,6300,TERRES DE L'EBRE,49,Baix Ebre,6360,TERRES DE L'EBRE,178,L'AMETLLA DE MAR - EL PERELLÓ,0,Home,30 a 34,204,156,151
12/01/2022,6700,CATALUNYA CENTRAL,22,Osona,6745,OSONA,212,SANT HIPÒLIT DE VOLTREGÀ,1,Dona,70 a 74,172,162,161
12/01/2022,7802,METROPOLITANA NORD,66,Vallès Occidental Oest,7843,VALLÈS OCCIDENTAL OEST,309,RUBÍ 1,0,Home,0 a 11,1812,340,24
12/01/2022,6700,CATALUNYA CENTRAL,59,Bages i Solsonès,6763,SOLSONÈS-BAGES-BERGUEDÀ,167,NAVÀS/BALSARENY,0,Home,75 a 79,170,163,163
12/01/2022,7802,METROPOLITANA NORD,35,Vallès Occidental Est,7844,VALLÈS OCCIDENTAL EST,097,CASTELLAR DEL VALLÈS,1,Dona,80 o més,939,893,888
12/01/2022,6400,GIRONA,56,Selva Marítima,6462,GIRONA SUD,085,BLANES,0,Home,25 a 29,1158,859,820
12/01/2022,7802,METROPOLITANA NORD,30,Barcelonès Nord i Baix Maresme,7867,BARCELONÈS NORD I MARESME,272,BADALONA 1,1,Dona,20 a 24,279,266,261
12/01/2022,7100,ALT PIRINEU I ARAN,01,Alt Urgell,7164,ALT PIRINEU,233,LA SEU D'URGELL,1,Dona,40 a 44,644,490,481
12/01/2022,6400,GIRONA,51,Alt Empordà,6461,GIRONA NORD,114,L'ESCALA,1,Dona,50 a 54,620,513,507
12/01/2022,7801,METROPOLITANA SUD,65,Baix Llobregat Nord,7831,BAIX LLOBREGAT NORD,115,ESPARREGUERA,0,Home,80 o més,547,523,520
12/01/2022,6200,CAMP DE TARRAGONA,09,Tarragonès,6258,TARRAGONÈS-BAIX PENEDÈS,166,EL MORELL,1,Dona,35 a 39,525,457,445
12/01/2022,6100,LLEIDA,05,Lleida,6156,LLEIDA,139,LLEIDA 5,0,Home,55 a 59,612,546,539
12/01/2022,7802,METROPOLITANA NORD,69,Vallès Oriental Central,7842,VALLÈS ORIENTAL,095,CARDEDEU,1,Dona,60 a 64,692,614,609
12/01/2022,6700,CATALUNYA CENTRAL,22,Osona,6745,OSONA,253,TONA,0,Home,80 o més,308,294,291
12/01/2022,7803,BARCELONA CIUTAT,70,Barcelona Dreta,7852,BARCELONA GRÀCIA,049,BARCELONA 6-C,1,Dona,12 a 14,220,149,120
12/01/2022,7802,METROPOLITANA NORD,69,Vallès Oriental Central,7842,VALLÈS ORIENTAL,095,CARDEDEU,0,Home,70 a 74,408,377,372
12/01/2022,6700,CATALUNYA CENTRAL,22,Osona,6745,OSONA,238,SANTA EUGÈNIA DE BERGA,1,Dona,15 a 19,521,469,464
12/01/2022,6300,TERRES DE L'EBRE,48,Altebrat,6360,TERRES DE L'EBRE,246,TERRA ALTA,1,Dona,30 a 34,251,208,203
12/01/2022,7802,METROPOLITANA NORD,35,Vallès Occidental Est,7844,VALLÈS OCCIDENTAL EST,193,SABADELL 3A,1,Dona,30 a 34,604,526,504
12/01/2022,7801,METROPOLITANA SUD,62,Garraf,7865,ALT PENEDÈS-GARRAF,380,VILANOVA I LA GELTRU 3,1,Dona,70 a 74,583,539,536
12/01/2022,6100,LLEIDA,05,Lleida,6156,LLEIDA,232,SERÒS,0,Home,40 a 44,292,250,244
12/01/2022,7802,METROPOLITANA NORD,69,Vallès Oriental Central,7842,VALLÈS ORIENTAL,284,GRANOLLERS 1 -OEST,1,Dona,70 a 74,526,489,485
12/01/2022,6700,CATALUNYA CENTRAL,22,Osona,6745,OSONA,377,RODA DE TER,1,Dona,30 a 34,277,232,227
12/01/2022,7802,METROPOLITANA NORD,69,Vallès Oriental Central,7842,VALLÈS ORIENTAL,164,MONTORNÈS / MONTMELÓ,1,Dona,0 a 11,1703,367,25
12/01/2022,7802,METROPOLITANA NORD,69,Vallès Oriental Central,7842,VALLÈS ORIENTAL,287,GRANOLLERS 4 - SUD,1,Dona,35 a 39,524,454,446
12/01/2022,7802,METROPOLITANA NORD,35,Vallès Occidental Est,7844,VALLÈS OCCIDENTAL EST,392,POLINYÀ-SENTMENAT,1,Dona,50 a 54,656,613,609
12/01/2022,6100,LLEIDA,05,Lleida,6156,LLEIDA,334,ALMACELLES,1,Dona,15 a 19,247,224,221
12/01/2022,7803,BARCELONA CIUTAT,47,Barcelona Nord,7854,BARCELONA NOU BARRIS,327,BARCELONA 8-I,0,Home,12 a 14,283,170,132
12/01/2022,7802,METROPOLITANA NORD,30,Barcelonès Nord i Baix Maresme,7867,BARCELONÈS NORD I MARESME,342,BADALONA 7B,0,Home,80 o més,348,328,327
